"207","JL. JOLA-JOLI","100","0","0","0","1950","K","LU","Tidak"
"208","JL. ARGOPURO","100","0","0","0","1950","K","LU","Tidak"
"209","JL. BANGKA","0","100","0","0","1950","K","LU","Tidak"
"210","JL. SULAWESI","100","0","0","0","1950","K","LU","Tidak"
"211","JL. WERKUDORO","0","100","0","0","1950","K","LU","Tidak"
"212","JL. SALAK","0","100","0","0","1950","K","LU","Tidak"
"213","JL. BILITON","100","0","0","0","1950","K","LU","Tidak"
"214","JL. MURIA","100","0","0","0","1950","K","LU","Tidak"
"215","JL. SULTAN AGUNG GG. III","0","100","0","0","1950","K","LU","Tidak"
"216","JL. SEKAR TAMAN","0","100","0","0","1950","K","LU","Tidak"
"217","JL. Ir. H. JUANDA GG. V","0","100","0","0","1950","K","LU","Tidak"
"218","JL. MENUR","25","50","25","0","1950","K","LU","Tidak"
"219","JL. UKEL","50","50","0","0","1950","K","LU","Tidak"
"220","JL. BARONG","100","0","0","0","1950","K","LU","Tidak"
"221","JL. SEKAR HARUM","0","100","0","0","1950","K","LU","Tidak"
"222","JL. ANGGREK","13.33","53.33","33.33","0","1950","K","LU","Tidak"
"223","JL. PARANG MENANG","40","60","0","0","1950","K","LU","Tidak"
"224","JL. R. KATONG","100","0","0","0","1950","K","LU","Tidak"
"225","JL. BUDI UTOMO","16.67","35.71","47.62","0","1950","K","LU","Tidak"
"226","JL. SEDAP MALAM","52.38","23.81","23.81","0","1950","K","LU","Tidak"
"227","JL. JENAR","0","100","0","0","1950","K","LU","Tidak"
"228","JL. SUBALI","40","60","0","0","1950","K","LU","Tidak"
"229","JL. ONTOSENO","0","100","0","0","1950","K","LU","Tidak"
"230","JL. BANOWATI","0","100","0","0","1950","K","LU","Tidak"
"231","JL. PANCOWOLO","62.5","37.5","0","0","1950","K","LU","Tidak"
"232","JL. SEMBIROBYONG","50","50","0","0","1950","K","LU","Tidak"
"233","JL. SERAM","100","0","0","0","1950","K","LU","Tidak"
"234","JL. ANJANI","0","100","0","0","1950","K","LU","Tidak"
"235","JL. KAWUNG","68.75","31.25","0","0","1950","K","LU","Tidak"
"236","JL. DEWI KUNTI","0","100","0","0","1950","K","LU","Tidak"
"237","JL. MERAPI","100","0","0","0","1950","K","LU","Tidak"
"238","JL. TIRTO TEJO","100","0","0","0","1950","K","LU","Tidak"
"239","JL. KAREL SATSUIT TUBUN","100","0","0","0","1950","K","LU","Tidak"
"240","JL. ANJOSMORO","100","0","0","0","1950","K","LU","Tidak"
"241","JL. MANGGA","57.14","42.86","0","0","1950","K","LU","Tidak"
"242","JL. BALI","0","100","0","0","1950","K","LU","Tidak"
"243","JL. PEPAYA","57.14","42.86","0","0","1950","K","LU","Tidak"
"244","JL. DURIAN","42.86","57.14","0","0","1950","K","LU","Tidak"
"245","JL. DELIMA","100","0","0","0","1950","K","LU","Tidak"
"246","JL. LETJEN. MT. HARYONO G.VI","0","100","0","0","1950","K","LU","Tidak"
"247","JL. LETJEN. MT. HARYONO G.V","0","100","0","0","1950","K","LU","Tidak"
"248","JL. LETJEN. MT. HARYONO G.IV","0","100","0","0","1950","K","LU","Tidak"
"249","JL. LETJEN. MT. HARYONO G. II","0","100","0","0","1950","K","LU","Tidak"
"250","JL. PUSPOWARNO","0","100","0","0","1950","K","LU","Tidak"
"251","JL. KRATATAU","0","100","0","0","1950","K","LU","Tidak"
"252","JL. TERNATE","0","100","0","0","1950","K","LU","Tidak"
"253","JL. KARIMATA","0","100","0","0","1950","K","LU","Tidak"
"254","JL. KH. HASYIM ASYHARI","0","100","0","0","1950","K","LU","Tidak"
"255","JL. KYAI KASAN BESARI","0","100","0","0","1850","K","LU","Tidak"
"256","JL. KH. WACHID HASYIM","0","100","0","0","1850","K","LU","Tidak"
"257","JL. KH. ZAINAL MUSTOFA","0","100","0","0","1650","K","LU","Tidak"
"258","JL. KYAI MOJO","0","100","0","0","1950","K","LU","Tidak"
"259","JL. P. HIDAYATULLAH","0","100","0","0","1950","K","LU","Tidak"
"260","JL. TLUTUR","0","37.5","62.5","0","1950","K","LU","Tidak"
"261","JL. SADEWO","0","100","0","0","1950","K","LU","Tidak"
"262","JL. PETRUK","0","100","0","0","1950","K","LU","Tidak"
"263","JL. JEND. GATOT SOEBROTO G.I","0","100","0","0","1950","K","LU","Tidak"
"264","JL. SEMAR","0","100","0","0","1950","K","LU","Tidak"
"265","JL. ANILO","0","100","0","0","1950","K","LU","Tidak"
"266","JL. ABIMANYU","0","100","0","0","1950","K","LU","Tidak"
"267","JL. LARASATI","0","100","0","0","2000","K","LU","Tidak"
"268","JL. SULTAN AGUNG G.I","0","100","0","0","1950","K","LU","Tidak"
"269","JL. SULTAN AGUNG G.II","0","100","0","0","1950","K","LU","Tidak"
"270","JL. SULTAN AGUNG G.V","0","100","0","0","1650","K","LU","Tidak"
"271","JL. TRUNTUM","0","100","0","0","1950","K","LU","Tidak"
"272","JL. SIDO MUKTI","0","100","0","0","1950","K","LU","Tidak"
"273","JL. SEKAR JAGAD","0","100","0","0","1950","K","LU","Tidak"
"274","JL. SIDOLUHUR","0","100","0","0","1950","K","LU","Tidak"
"275","JL. RUJAK SENTE","0","100","0","0","1950","K","LU","Tidak"
"276","JL. UDAN LIRIS","0","100","0","0","1950","K","LU","Tidak"
"277","JL. PARANG KEMBANG","0","36.36","63.64","0","2000","K","LU","Tidak"
"278","JL. PARANG PARUNG","0","60","40","0","1950","K","LU","Tidak"
"279","JL. PARANG KLITIK","0","100","0","0","1950","K","LU","Tidak"
"280","JL. PARANG KUSUMO","0","100","0","0","1950","K","LU","Tidak"
"281","JL. PARANG BARIS","0","100","0","0","1950","K","LU","Tidak"
"282","JL. PARANG UKEL","0","36.36","63.64","0","1950","K","LU","Tidak"
"283","JL. KALI MUSI","0","100","0","0","1650","K","LU","Tidak"
"284","JL. RADEN WIJAYA","30","30","40","0","1650","K","LU","Tidak"
"285","JL. KI AGENG SELO","0","100","0","0","1650","K","LU","Tidak"
"286","JL. SEGOLO-GOLO","0","100","0","0","1650","K","LU","Tidak"
